Viti,Muaji,Përshkrimi i Sektorit,Komuna,Statusi i Regjistrimit,Përshkrimi i Gjobave në bazë të Ligjit,Numri i Tatimpaguesve,Numri i Gjobave të Lëshuara,Vlera e Gjobave të Lëshuara
2019,2,21,24,4,36,1,1,500.0
2019,2,21,34,18,39,1,1,1000.0
2019,2,21,34,4,37,1,1,125.0
2019,2,21,34,4,36,1,1,500.0
2019,2,21,9,4,38,2,2,750.0
2019,2,21,5,18,48,1,1,2880.64
2019,2,21,5,18,41,1,1,125.0
2019,2,21,5,18,37,1,1,125.0
2019,2,21,5,18,38,1,1,250.0
2019,2,21,5,18,39,1,1,2880.64
2019,2,21,5,4,41,1,1,2000.0
2019,2,21,5,4,37,1,1,125.0
2019,2,21,16,18,36,1,1,500.0
2019,2,21,16,4,48,3,3,1435.75
2019,2,21,16,4,37,4,4,1258.5
2019,2,21,16,4,38,1,1,427.25
2019,2,21,16,4,39,1,1,2000.0
2019,2,21,22,18,35,1,1,125.0
2019,2,21,30,18,48,1,1,643.0
2019,2,21,30,18,40,1,1,100.0
2019,2,21,30,18,36,1,1,643.0
2019,2,21,30,4,48,1,1,288.5
2019,2,21,30,4,37,1,1,288.5
2019,2,21,1,4,37,5,5,625.0
2019,2,21,2,18,48,7,8,4931.51
2019,2,21,2,18,37,10,10,5268.51
2019,2,21,2,18,38,1,1,250.0
2019,2,21,2,4,48,11,11,7009.05
2019,2,21,2,4,37,19,19,8009.05
2019,2,21,2,4,38,1,1,250.0
2019,2,21,2,4,39,1,1,2500.0
2019,2,21,2,4,36,1,1,2500.0
2019,2,21,4,18,38,1,1,250.0
2019,2,21,4,4,38,1,1,250.0
2019,2,21,6,4,41,1,1,1125.0
2019,2,21,6,4,37,1,1,1125.0
2019,2,21,6,4,36,1,1,1125.0
2019,2,21,18,18,36,1,1,1000.0
2019,2,21,23,4,48,1,1,406.95
2019,2,21,23,4,38,1,1,406.95
2019,2,21,27,18,38,1,1,250.0
2019,2,21,27,4,41,5,5,750.0
2019,2,21,27,4,37,6,6,1375.0
2019,2,21,27,4,38,3,3,1125.0
2019,2,21,27,4,39,1,1,2000.0
2019,2,21,27,4,36,1,1,500.0
2019,2,21,27,15,37,1,1,125.0
2019,2,21,28,18,48,1,1,7144.2
2019,2,21,28,18,39,1,1,7144.2
2019,2,21,28,4,38,1,1,250.0
2019,2,21,11,18,39,1,1,1000.0
2019,2,21,11,4,36,1,1,500.0
2019,2,21,25,4,48,3,3,1633.0
2019,2,21,25,4,50,1,1,532.25
2019,2,21,25,4,41,4,4,625.0
2019,2,21,25,4,37,13,13,3415.25
2019,2,21,31,18,48,1,1,432.56
2019,2,21,31,18,38,1,1,432.56
2019,2,21,33,18,39,1,1,3000.0
2019,2,21,33,4,41,1,1,250.0
2019,2,21,33,4,37,4,4,625.0
2019,2,21,33,4,39,1,1,1500.0
2019,2,21,33,4,36,1,1,1500.0
2019,2,21,35,4,41,2,2,375.0
